ABW, Aruba.bmp
AFG, Afghanistan.bmp
AFU, African Union.bmp
AGO, Angola.bmp
AIA, Anguilla.bmp
ALA, Aaland.bmp
ALB, Albania.bmp
AND, Andorra.bmp
ANT, Netherlands Antilles.bmp
ARE, United Arab Emirates.bmp
ARG, Argentina.bmp
ARM, Armenia.bmp
ASE, Association of Southeast Asian Nations.bmp
ASM, American Samoa.bmp
ATA, Antarktika.bmp
ATF, French Colonies.bmp
ATG, Antigua and Barbuda.bmp
AUS, Australia.bmp
AUT, Austria.bmp
AZE, Azerbaijan.bmp
BDI, Burundi.bmp
BEL, Belgium.bmp
BEN, Benin.bmp
BES, Bonaire-Sint Eustatius-Saba.bmp
BFA, Burkina Faso.bmp
BGD, Bangladesh.bmp
BGR, Bulgaria.bmp
BHR, Bahrain.bmp
BHS, Bahamas.bmp
BIH, Bosnia and Herzegovina.bmp
BLM, Saint-Barthelemy.bmp
BLR, Belarus.bmp
BLZ, Belize.bmp
BMU, Bermuda.bmp
BOL, Bolivia.bmp
BRA, Brazil.bmp
BRB, Barbados.bmp
BRN, Brunei Darussalam.bmp
BTN, Bhutan.bmp
BVT, Bouvetinsel.bmp
BWA, Botswana.bmp
CAF, Central African Republic.bmp
CAN, Canada.bmp
CCK, Cocos Islands.bmp
CHE, Switzerland.bmp
CHL, Chile.bmp
CHN, China.bmp
CIV, Ivory Coast.bmp
CMR, Cameroon.bmp
COD, Democratic Republic of the Congo (Kinshasa).bmp
COG, Congo, Republic of (Brazzaville).bmp
COK, Cook Islands.bmp
COL, Colombia.bmp
COM, Comoros.bmp
CPV, Cape Verde.bmp
CRI, Costa Rica.bmp
CUB, Cuba.bmp
CUW, Curacao.bmp
CXR, Christmas Island.bmp
CYM, Cayman Islands.bmp
CYP, Cyprus.bmp
CZE, Czech Republic.bmp
DEU, Germany.bmp
DJI, Djibouti.bmp
DMA, Dominica.bmp
DNK, Denmark.bmp
DOM, Dominican Republic.bmp
DZA, Algeria.bmp
ECU, Ecuador.bmp
EGY, Egypt.bmp
ERI, Eritrea.bmp
ESH, Western Sahara.bmp
ESP, Spain.bmp
EST, Estonia.bmp
ETH, Ethiopia.bmp
EUN, European Union.bmp
FIN, Finland.bmp
FJI, Fiji.bmp
FLK, Falkland Islands.bmp
FRA, France.bmp
FRO, Faroe Islands.bmp
FSM, Micronesia, Federal States of.bmp
FXX, French-Metropolitan.bmp
GAB, Gabon.bmp
GBR, United Kingdom.bmp
GEO, Georgia.bmp
GGY, Guernsey.bmp
GHA, Ghana.bmp
GIB, Gibraltar.bmp
GIN, Guinea.bmp
GLP, Guadeloupe.bmp
GMB, Gambia.bmp
GNB, Guinea-Bissau.bmp
GNQ, Equatorial Guinea.bmp
GRC, Greece.bmp
GRD, Grenada.bmp
GRL, Greenland.bmp
GTM, Guatemala.bmp
GUF, French Guayana.bmp
GUM, Guam.bmp
GUY, Guyana.bmp
HKG, Hongkong.bmp
HMD, Heard and McDonald Islands.bmp
HND, Honduras.bmp
HRV, Croatia.bmp
HTI, Haiti.bmp
HUN, Hungary.bmp
IDN, Indonesia.bmp
IMN, Isle of Man.bmp
IND, India.bmp
IOT, British Indian Ocean Territory.bmp
IRL, Ireland.bmp
IRN, Islamic Republic of Iran.bmp
IRQ, Iraq.bmp
ISL, Iceland.bmp
ISR, Israel.bmp
ITA, Italy.bmp
JAM, Jamaica.bmp
JEY, Jersey.bmp
JOR, Jordan.bmp
JPN, Japan.bmp
KAZ, Kazakhstan.bmp
KEN, Kenya.bmp
KGZ, Kyrgyzstan.bmp
KHM, Cambodia.bmp
KIR, Kiribati.bmp
KNA, Saint Kitts and Nevis.bmp
KOR, Korea, Republic of (South Korea).bmp
KWT, Kuwait.bmp
LAO, Lao, People's Democratic Republic.bmp
LBN, Lebanon.bmp
LBR, Liberia.bmp
LBY, Libya.bmp
LCA, Saint Lucia.bmp
LIE, Liechtenstein.bmp
LKA, Sri Lanka.bmp
LSO, Lesotho.bmp
LTU, Lithuania.bmp
LUX, Luxembourg.bmp
LVA, Latvia.bmp
MAC, Macau.bmp
MAF, St. Martin.bmp
MAR, Morocco.bmp
MCO, Monaco.bmp
MDA, Moldova, Republic of.bmp
MDG, Madagascar.bmp
MDV, Maldives.bmp
MEX, Mexico.bmp
MHL, Marshall Islands.bmp
MKD, Macedonia, Rep. of.bmp
MLI, Mali.bmp
MLT, Malta.bmp
MMR, Myanmar, Burma.bmp
MNE, Montenegro.bmp
MNG, Mongolia.bmp
MNP, Northern Mariana Islands.bmp
MOZ, Mozambique.bmp
MRT, Mauritania.bmp
MSR, Montserrat.bmp
MTQ, Martinique.bmp
MUS, Mauritius.bmp
MWI, Malawi.bmp
MYS, Malaysia.bmp
MYT, Mayotte.bmp
NAM, Namibia.bmp
NCL, New Caledonia.bmp
NCY, North Cyprus.bmp
NER, Niger.bmp
NFK, Norfolk Island.bmp
NGA, Nigeria.bmp
NIC, Nicaragua.bmp
NIU, Niue.bmp
NLD, Netherlands.bmp
NOR, Norway.bmp
NPL, Nepal.bmp
NRU, Nauru.bmp
NZL, New Zealand.bmp
OMN, Oman.bmp
PAK, Pakistan.bmp
PAN, Panama.bmp
PCN, Pitcairn Islands.bmp
PER, Peru.bmp
PHL, Philippines.bmp
PLW, Palau.bmp
PNG, Papua New Guinea.bmp
POL, Poland.bmp
PRI, Puerto Rico.bmp
PRK, North Korea.bmp
PRT, Portugal.bmp
PRY, Paraguay.bmp
PSE, Palestine.bmp
PYF, French Polynesia.bmp
QAT, Qatar.bmp
RBK, Bergkarabach.bmp
REU, Reunion.bmp
ROU, Romania.bmp
RUS, Russia.bmp
RWA, Rwanda.bmp
SAN, Union of South American Nations.bmp
SAU, Saudi Arabia.bmp
SCG, Serbia and Montenegro.bmp
SDN, Sudan.bmp
SEN, Senegal.bmp
SGP, Singapore.bmp
SGS, South Georgia and the South Sandwich Islands.bmp
SHN, St. Helena.bmp
SJM, Svalbard and Jan Mayen.bmp
SLB, Solomon Islands.bmp
SLD, Somaliland.bmp
SLE, Sierra Leone.bmp
SLV, El Salvador.bmp
SMR, San Marino.bmp
SOL, Somaliland.bmp
SOM, Somalia.bmp
SOS, South Ossetia.bmp
SPM, Saint-Pierre und Miquelon.bmp
SRB, Serbia.bmp
SSD, South Sudan.bmp
STP, Sao Tome and Principe.bmp
SUR, Suriname.bmp
SVK, Slovakia (Slovak Republic).bmp
SVN, Slovenia.bmp
SWE, Sweden.bmp
SWZ, Swaziland.bmp
SXM, Sint Maarten.bmp
SYC, Seychelles.bmp
SYR, Syria, Syrian Arab Republic.bmp
TCA, Turks and Caicos Islands.bmp
TCD, Chad.bmp
TGO, Togo.bmp
THA, Thailand.bmp
TJK, Tajikistan.bmp
TKL, Tokelau.bmp
TKM, Turkmenistan.bmp
TLS, East Timor Timor-Leste.bmp
TON, Tonga.bmp
TRN, Transnistria.bmp
TTO, Trinidad and Tobago.bmp
TUN, Tunisia.bmp
TUR, Turkey.bmp
TUV, Tuvalu.bmp
TWN, Taiwan Republic of China.bmp
TZA, Tanzania.bmp
UGA, Uganda.bmp
UKR, Ukraine.bmp
UMI, United States Minor Outlying Islands.bmp
URY, Uruguay.bmp
USA, United States.bmp
UZB, Uzbekistan.bmp
VAT, Vatican City.bmp
VCT, Saint Vincent and the Grenadines.bmp
VEN, Venezuela.bmp
VGB, British Virgin Islands.bmp
VIR, U.S. Virgin Islands.bmp
VNM, Vietnam.bmp
VUT, Vanuatu.bmp
WLF, Wallis and Futuna.bmp
WSM, Samoa.bmp
XKX, Kosovo.bmp
YEM, Yemen.bmp
ZAF, South Africa.bmp
ZMB, Zambia.bmp
ZWE, Zimbabwe.bmp
